"Id","Date","Time","Question","Details","Answer","Notes","Entered By","Format","Research","Borrow Return","Technology","Administrative","Other","Ticket #"
"o33965674","2020-12-15","11:27","I am working on my dissertation topic, Treating Addiction during COVID-19; I am looking for resources that discuss leadership challenges during","","Good morning,What a timely topic! As a doctoral student at A&T, you have access to a range of peer-reviewed journals. A quick keyword search using ""addiction"" and ""COVID-19"" resulted in about 4,000 items. If time allows, we could also set up a one-on-one research consultation. If you'd like, send me an email: hdlong@ncat.edu. I would reach out to the University Writing Center. They could help you with finding a proof-reading service. Harvey Long, Student Success Librarian    ","","Harvey Long","LibAnswers System","Find Article","","","","","6437905"
"o34065397","2021-01-04","14:22","Do F.D. Bluford Library have a copy of 1998 Undergraduate Bulletin?","","<p>Hey Mr. Bynum, </p>

<p>And Happy New Year. Have you checked with Archives? And I will switch over to email for further responses. </p>","","Carlos Grooms","LibAnswers System","Search Catalog","","","","","6530732"
"o34171561","2021-01-14","15:48","ILL Request Form unavailable","","<p>Hello Allana,</p>

<p>I am attaching an online link for the ILL Request Form. Please use this link to submit your request <a class=""external-link"" href=""https://forms.office.com/Pages/ResponsePage.aspx?id=dd1E2NekH0u9M7wLHHlsOHXrEf9BnLJFjKBcVpZ83N5URFI2RUxOTUlCRENRTlZCREVGWDdDNDU5Vy4u"" target=""_blank"" title=""Interlibrary Loan Login Form"" rel=""noreferrer noopener"">the online form</a> or if the link does not work, please submit your request using this link <a class=""email-link"" href=""mailto:circ@ncat.edu?subject=ADA%20Assistance%20for%20ILL/DD"" title="""">circ@ncat.edu.</a></p>

<p>The Access Services Department is responsible for ILL request and can be reached by sending an email to <a class=""email-link"" href=""mailto:circ@ncat.edu?subject=ADA%20Assistance%20for%20ILL/DD"" title="""">circ@ncat.edu </a></p>

<p>or by calling (336) 285 -4164 if you have additional questions. I hope this information helps.</p>

<p>Evelyn Blount/F.D. Bluford Library</p>

<p> </p>

<p> </p>","","Evelyn Blount","LibAnswers System","","ILL","","","","6604251"
"o34219213","2021-01-20","08:09","When is the library opening","","Freda: When is the library opening<br />
David Rachlin: Hello Freda!<br />
Freda: Hi David. When is the library opening<br />
David Rachlin: The library will open to NCA&amp;T Faculty, Students &amp; Staff this Sunday, January 24th.<br />
We will remain closed to the public for the forseeable future.<br />
Freda: okay Thank you for the prompt response<br />
David Rachlin: You're welcome. Have a great day!<br />
Freda: You too!","","David Rachlin","LibChat","","","","Hours of Operation","",""
"o34227721","2021-01-20","15:26","CRAAP Test page <br /><div class=""&lt;/div""></div>","","","","Evelyn Blount","LibAnswers System","","","","","Other Information",""
"o34229210","2021-01-20","16:27","Student wanted to know if the library is open today (1-20-21) so that she can return a laptop.(704) 907-2294.","","Returned student's call and gave her contact information for the Access Services Department.<br />
Evelyn Blount","","Evelyn Blount","Voicemail","","Return Laptop","","","",""
"o34229677","2021-01-20","16:47","Hi! I was wondering if you knew of building named after notable Omega Men! I am an alumni of NCAT. Are there any archives I can get a hold of?","","Mark Z: Hi! I was wondering if you knew of building named after notable Omega Men! I am an alumni of NCAT. Are there any archives I can get a hold of?<br />
Evelyn Blount: Hello, please give me a moment to get contact information for you.<br />
Evelyn Blount: Please contact the Archives Department via email at libraryarchives@ncat.edu or call336.285.4176. The Archives Department will be able to assist you with your question.","","Evelyn Blount","LibChat","Archives/Yearbook","","","","",""
"o34238352","2021-01-21","12:12","Hi i was just trying to find information on the cherry hall building","","ebony chavis: Hi i was just trying to find information on the cherry hall building<br />
David Rachlin: Hello.<br />
I'd be happy to help you with that.<br />
Some very basic information is here https://digital.library.ncat.edu/campusbuildings/14/.<br />
What do you need to know about Cherry?<br />
There is also some information here about why the name is being changed. https://greensboro.com/news/local/education/n-c-a-t-removes-names-tied-to-white-supremacy-from-two-campus-buildings/article_3a639862-fdd7-11ea-a3e6-b30b0964c1f0.html<br />
David Rachlin: Is there anything else I can help you with?","","David Rachlin","LibChat","Archives/Yearbook","","","","",""
"o34238358","2021-01-21","12:12","Is the library open to students on January 21st and 22nd?","","J'ya Hunter: Is the library open to students on January 21st and 22nd?<br />
David Rachlin: Hello Ms. Hunter.<br />
No the library will open to students this Sunday, January 24th.<br />
Sorry... it's Saturday the 23rd.<br />
We will be open from 1pm-5pm on Saturday &amp; Sunday.","","David Rachlin","LibChat","","","","Hours of Operation","",""
"o34238405","2021-01-21","12:15","As a current grad student in Leadership studies, how can I access spss to analyze my dissertation data?","","Prince: As a current grad student in Leadership studies, how can I access spss to analyze my dissertation data?<br />
David Rachlin: Hello Prince.<br />
I can help you with that.<br />
David Rachlin: If you want to access SPSS, you can do so using Aggies Anywhere<br />
https://aggiesanywhere.ncat.edu/portal/webclient/index.html#/<br />
Select the right hand icon for ""distance learning""<br />
It will open a windows desktop virtual machine on your computer and in the Start menu, you will find IBM SPSS<br />
On the left side of the desktop there is a slider with the VMWare virtual machine controls.<br />
At the top of that slider is a button with little up and down arrows.<br />
That will open your file control menu and allow you to move files between your computer and the virtual machine.<br />
Prince: Okay!  Thank you.  I'm in the application.  I'll play around with it and see what I can do.  I appreciate your assistance, David!<br />
David Rachlin: You're welcome!<br />
Is there anything else you need assistance with?<br />
Prince: Not at the moment!<br />
David Rachlin: Have a great day!","spss","David Rachlin","LibChat","","","Aggies Anywhere","","",""
